antibody,n_sequences,AbLang2,DASM,ESM,ProGen2
222-1C06,190,0.04128467369541548,0.2479814363325657,-0.0387091109567574,-0.030397389943977032
319-345,349,0.07938518291612687,0.2785152302829058,0.19863434784619732,0.22199002295403603
002-S21F2,128,-0.2464064824465131,-0.16482760731745796,-0.2825946193824756,-0.35317830971775255
Ab_2-15,402,-0.3254505091000827,0.09433905132427127,-0.264925323731944,-0.0690221511927572
C118,53,-0.623996478668923,0.27563835827796407,-0.2930715821938828,-0.15947541043263425
