Dataset,Model,Correlation
Shane. Trast. zero 119,DASM,0.4583533715757531
Shane. Trast. zero 119,AbLang2,0.26253884499257163
Shane. Trast. zero 119,ESM,0.2481015822149833
Shane. Trast. zero 119,ProGen2,0.07449338019242852
Shane. Trast. zero 120,DASM,0.5177754266651206
Shane. Trast. zero 120,AbLang2,0.16607542462609057
Shane. Trast. zero 120,ESM,0.3366451710915385
Shane. Trast. zero 120,ProGen2,0.05198097056501233
